factory,model,year,city,mileage,price
genesis,g70,2019,москва,98806,2180000
уаз,patriot,2022,ростов-на-дону,25497,1581000
haval,jolion,2022,воронеж,38625,1940000
chery,tiggo,2022,ростов-на-дону,2791,1880000
exeed,lx,2023,новосибирск,4760,2916864
kia,sportage,2022,новокузнецк,30763,3554720
exeed,txl,2022,москва,2457,2970000
exeed,vx,2023,москва,21384,3610000
genesis,g70,2019,москва,129636,2000000
renault,sandero,2019,москва,51438,1165000
volkswagen,polo,2019,москва,122777,1166716
haval,f7x,2022,новосибирск,27882,2593785
exeed,txl,2023,новосибирск,11204,3238170
chery,tiggo,2021,москва,80447,1842000
hyundai,solaris,2019,москва,130540,1201529
geely,tugella,2021,москва,39051,3047000
skoda,rapid,2019,москва,143203,1200000
уаз,patriot,2019,якутск,66029,1410969
genesis,g70,2019,москва,110711,2048675
genesis,g70,2019,санкт-петербург,86422,2080262
byd,qin,2022,санкт-петербург,8861,2849587
byd,qin,2022,санкт-петербург,49821,2289254
volkswagen,polo,2019,москва,133257,1072390
volkswagen,polo,2019,москва,139174,1086080
mazda,cx-9,2022,артем,65958,5500000
land,rover,2019,артем,56664,11281250
chery,tiggo,2022,санкт-петербург,31707,1785000
haval,jolion,2022,санкт-петербург,68220,1674802
haval,jolion,2022,санкт-петербург,54146,1712438
haval,jolion,2022,санкт-петербург,82986,1612702
haval,jolion,2022,санкт-петербург,61072,1702088
haval,jolion,2022,санкт-петербург,58067,1712438
haval,jolion,2022,санкт-петербург,56768,1717142
haval,jolion,2022,санкт-петербург,45483,1750074
haval,jolion,2022,санкт-петербург,81595,1674802
haval,jolion,2022,санкт-петербург,65131,1679506
haval,jolion,2022,санкт-петербург,55117,1723728
haval,jolion,2022,санкт-петербург,68455,1670097
haval,jolion,2022,санкт-петербург,67913,1670097
haval,jolion,2022,санкт-петербург,58075,1712438
haval,f7x,2022,ростов-на-дону,59738,2120875
exeed,vx,2023,москва,47504,3312175
уаз,patriot,2022,саратов,43821,1380825
lada,granta,2022,ставрополь,104205,750000
gac,gs5,2022,москва,27860,2166000
audi,q7,2016,москва,204900,3760128
mercedes-benz,g,2015,москва,140212,6156000
kia,sorento,2021,москва,62973,3860600
volkswagen,polo,2019,москва,151849,1081517
volkswagen,polo,2019,москва,134141,1104334
lada,granta,2022,москва,65276,756449
genesis,g70,2019,москва,122529,1903372
hongqi,e-qm5,2022,санкт-петербург,23148,3321600
lada,vesta,2022,красноярск,29271,1566720
hongqi,e-qm5,2022,санкт-петербург,39466,3158400
haval,jolion,2022,санкт-петербург,76922,1637166
haval,jolion,2022,санкт-петербург,83088,1608939
volkswagen,polo,2019,москва,101775,1213761
volkswagen,polo,2019,москва,138011,1138489
