factory,model,year,city,mileage,price
камаз,65802,2021,ханты-мансийский,156988,5310000
faw,j6,2022,саха,,4340000
howo,zz,2022,башкортостан,100000,5790000
faw,j6,2023,ростовская,,5720000
howo,zz,2022,тюменская,,5570000
howo,zz,2022,ханты-мансийский,99454,5810000
маз,6516,2021,нижегородская,,2470000
камаз,65801,2021,москва,126968,6140000
howo,t5g,2022,нижегородская,150144,6090000
shacman,sx,2022,новосибирская,,5970000
sitrak,c7h,2022,ямало-ненецкий,33093,7040000
shacman,sx,2022,московская,60473,5620000
shacman,sx,2022,новосибирская,19287,6240000
foton,auman,2023,хабаровский,44225,6050000
shacman,sx,2022,новосибирская,23894,5050000
shacman,sx,2022,иркутская,95717,4620000
howo,zz,2022,московская,113866,5570000
shacman,sx,2023,иркутская,1,8220000
hongyan,908,2022,приморский,25117,5460000
shacman,sx,2022,красноярский,43336,5720000
faw,j6,2022,москва,,4980000
маз,6501,2020,москва,,2690000
маз,6516,2019,архангельская,143442,3850000
sany,syz320,2022,санкт-петербург,51316,6040000
shacman,sx,2023,татарстан,104070,7080000
маз,4381,2021,иркутская,46925,3160000
маз,4381,2021,иркутская,46925,3160000
howo,t5g,2021,амурская,,6170000
faw,j6,2022,воронежская,92245,4590000
omoda,s5,2023,адыгея,6349,1690000
sollers,argo,2023,свердловская,,2470000
sitrak,c7h,2023,челябинская,74408,7010000
faw,j6,2022,воронежская,86972,4820000
howo,zz,2018,башкортостан,,2410000
changan,uni-v,2023,оренбургская,10154,2380000
маз,6501,2020,москва,,2420000
sitrak,c7h,2022,красноярский,112203,6020000
faw,ca,2022,архангельская,103189,3930000
камаз,65201,2021,москва,202707,3300000
shacman,sx,2022,самарская,,7610000
shacman,sx,2022,башкортостан,,4530000
shacman,sx,2022,башкортостан,,4530000
камаз,6520,2022,алтайский,8515,4190000
faw,j6,2023,ставропольский,23905,5750000
geely,coolray,2023,москва,23511,2160000
маз,5440,2014,оренбургская,,2170000
sitrak,c7h,2023,мордовия,23891,9490000
камаз,65222,2014,ямало-ненецкий,,2070000
камаз,5490,2017,санкт-петербург,1,2730000
камаз,6520,2022,московская,,2730000
маз,6501,2018,москва,,1740000
faw,j6,2022,саха,,4340000
shacman,sx,2022,пермский,112717,5720000
faw,j6,2022,татарстан,73944,6360000
faw,j6,2023,воронежская,,6000000
камаз,65801,2021,санкт-петербург,,6540000
howo,zz,2022,мурманская,59258,5770000
faw,j6,2022,москва,202090,4150000
ural,44202,2021,ханты-мансийский,55175,5540000
shacman,sx,2022,свердловская,161431,6040000
маз,6501,2020,москва,,3050000
sollers,argo,2023,свердловская,,2240000
hongyan,cq,2023,ростовская,1693,7690000
камаз,6520,2022,башкортостан,57807,4380000
shacman,sx,2022,свердловская,85485,4990000
faw,j6,,санкт-петербург,1,3970000
howo,zz,2022,нижегородская,156211,5420000
shacman,sx,2022,самарская,27504,6900000
shacman,sx,2022,ростовская,,4710000
hongyan,908,2022,москва,62785,5430000
howo,zz,2022,башкортостан,100000,5060000
faw,j6,2022,татарстан,146548,4570000
shacman,sx,2023,москва,66312,6460000
daf,xf,2018,приморский,742249,8020000
howo,t5g,2022,иркутская,71828,6980000
камаз,5490,2017,москва,,2820000
hongyan908,8x4,2022,санкт-петербург,15568,6880000
shacman,sx,2022,москва,90996,8570000
faw,ca,,удмуртская,52497,6380000
faw,j6,2022,воронежская,122572,4760000
нефаз,9509-30,2020,краснодарский,1,1080000
faw,j6,2022,москва,87307,5280000
faw,j6,2022,москва,31763,5610000
shacman,sx,2022,санкт-петербург,46910,6110000
gaz,valdai,2021,саха,82634,2850000
howo,t5g,2023,пермский,15963,7460000
howo,zz,2023,пермский,17067,7370000
lexus,ls,2018,ростовская,1,6080000
shacman,sx,2022,ростовская,64298,7890000
камаз,6580,,красноярский,97140,4960000
ваз,niva,2023,башкортостан,1,1120000
faw,j6,2022,забайкальский,36361,4930000
shacman,sx,2022,волгоградская,126124,8230000
камаз,65206,2020,омская,280616,5810000
gaz,gazon,2019,амурская,1,2130000
камаз,65221,2022,ханты-мансийский,1,6840000
shacman,sx,2022,забайкальский,,6640000
shacman,sx,2022,московская,156996,5050000
gaz,gazon,2021,ямало-ненецкий,,5970000
jac,n350,2022,санкт-петербург,45990,4630000
gaz,sobol,2022,амурская,33149,1690000
hongyan,908,2022,санкт-петербург,30689,6850000
shacman,sx,2022,московская,135778,5580000
jac,n350,2022,санкт-петербург,49858,5010000
jac,n350,2022,санкт-петербург,45990,4630000
faw,j6,2023,татарстан,34427,6390000
uaz,3909,2021,амурская,81752,680000
маз,6501,2020,москва,,2440000
scania,g,2017,свердловская,479132,7360000
howo,zz,2022,нижегородская,,4880000
shacman,sx,2022,санкт-петербург,56196,4420000
volvo,fmx,2020,хакасия,519145,11180000
jac,n350,2022,новосибирская,97609,3800000
howo,zz,2022,ханты-мансийский,73935,5950000
камаз,6520,2022,воронежская,13537,5320000
shacman,sx,2022,ханты-мансийский,49672,6610000
камаз,6520,2022,воронежская,12438,5200000
faw,j6,2022,ростовская,1,4900000
howo,zz,2021,санкт-петербург,113407,4040000
камаз,65222,2023,мурманская,24189,6970000
маз,6501,2020,москва,,3390000
volvo,fmx,2020,хакасия,430528,11210000
jac,n350,2022,новосибирская,87557,4020000
howo,t5g,2021,амурская,,4660000
shacman,sx,2022,хабаровский,38439,5340000
sitrak,c7h,2022,нижегородская,155218,8860000
маз,6501,2021,москва,,3210000
камаз,5490,2021,московская,420539,4650000
камаз,5490,2017,башкортостан,1,2480000
shacman,sx,2022,башкортостан,116813,5140000
faw,j6,2022,забайкальский,19654,5560000
mercedes-benz,s-класс,2018,кемеровская,1,2000000
faw,j6,2022,забайкальский,19654,5560000
exeed,vx,2022,башкортостан,68891,3240000
faw,j6,2022,воронежская,129250,4670000
sitrak,c7h,2022,пермский,78107,8290000
sitrak,c7h,2023,московская,99156,7580000
faw,j6,2022,ставропольский,118005,6240000
howo,zz,2022,челябинская,180369,6360000
changan,alsvin,2023,москва,17111,1340000
камаз,5490,2021,московская,340200,4940000
faw,j6,2023,воронежская,,3570000
dayun,cgc,2022,санкт-петербург,207426,6230000
shacman,sx,2022,санкт-петербург,113040,6100000
uaz,3909,2015,москва,99639,450000
shacman,sx,2022,московская,64945,5810000
foton,aumark,2023,нижегородская,55113,5560000
камаз,53504,2023,самарская,26594,10700000
маз,6501,2020,москва,,2330000
sx*,8x4,2022,санкт-петербург,93601,6260000
ural,44202,2021,москва,45180,5730000
faw,j6,2022,забайкальский,,5500000
камаз,6520,2022,ставропольский,60130,4340000
shacman,sx,2022,бурятия,44960,6440000
shacman,sx,2022,красноярский,93997,6860000
faw,j6,2022,ханты-мансийский,69300,6370000
камаз,м1945,2022,волгоградская,169307,6420000
shacman,sx,2022,адыгея,57905,5630000
man,tgx,2017,московская,95313,5740000
камаз,5490,2016,забайкальский,,2660000
shacman,sx,2022,московская,149357,4880000
маз,6501,2022,московская,45500,4060000
howo,zz,2022,чувашская,,4200000
jac,n350,2022,санкт-петербург,38529,5040000
jac,n350,2022,санкт-петербург,53613,4390000
shacman,sx,2022,московская,149357,4880000
shacman,sx,2022,башкортостан,127247,5260000
lexus,rx,2020,чувашская,97446,6830000
shacman,sx,2022,ханты-мансийский,,4300000
ural,44202,2021,ямало-ненецкий,22800,4710000
shacman,sx,2022,москва,142353,6210000
faw,j6,2022,москва,159902,4630000
маз,6501,2022,московская,9077,4030000
маз,6501,2022,московская,2217,4070000
камаз,65801,2021,татарстан,76592,6630000
камаз,65801,2021,татарстан,77265,7970000
камаз,5490,2018,ростовская,912236,3370000
geely,coolray,2022,башкортостан,53121,1860000
faw,j6,2022,москва,79224,6470000
faw,j6,2022,красноярский,27398,4450000
faw,j6,2022,москва,,5030000
howo,zz,2022,ростовская,96955,5840000
shacman,sx,2022,мордовия,90861,8830000
faw,j6,2021,кемеровская,73684,4900000
камаз,6520,2017,татарстан,,2640000
howo,zz,2022,ханты-мансийский,102882,5810000
faw,j6,2022,москва,71693,4210000
faw,j6,2022,кемеровская,113038,6810000
ваз,largus,2022,санкт-петербург,7488,1910000
faw,j6,2022,ставропольский,96816,6320000
sitrak,c7h,2022,московская,235059,6050000
shacman,sx,2022,иркутская,63710,5920000
shacman,sx,2022,самарская,,6120000
hongyan,908,2022,башкортостан,71471,5280000
камаз,5490,2017,москва,769726,2910000
shacman,sx,2022,пермский,7092,6990000
shacman,sx,2022,ростовская,,6900000
sitrak,c7h,2022,нижегородская,65752,8340000
faw,j6,2022,саха,,4410000
faw,j6,2022,саха,37807,4410000
маз,6501,2020,москва,,3250000
faw,j6,2022,москва,84135,4280000
faw,j6,2022,саха,69998,4530000
faw,j6,2022,саха,62024,4260000
faw,j6,2022,воронежская,50114,4930000
камаз,65801,2021,ростовская,204345,4720000
маз,6501,2020,москва,,2910000
faw,j6,2023,москва,24788,6280000
porsche,cayenne,2023,москва,6126,13708000
маз,6501,2020,москва,,2970000
камаз,5490,2017,тюменская,603362,3080000
faw,j6,2022,москва,38544,4620000
faw,j6,2022,саха,71718,4440000
faw,j6,2022,ростовская,1,4910000
shacman,sx,2022,челябинская,93911,5140000
faw,j6,2022,саха,20683,4360000
faw,j6,2023,москва,13377,6400000
shacman,sx,2022,санкт-петербург,52536,6210000
камаз,65115,2022,московская,20235,5590000
faw,ca,2022,ханты-мансийский,,5710000
faw,j6,2022,саха,26606,4400000
shacman,sx,2023,ямало-ненецкий,70323,8090000
faw,j6,2022,башкортостан,1,6030000
камаз,м1945,2023,москва,37203,6900000
shacman,sx,2022,санкт-петербург,53418,6260000
камаз,5490,2017,москва,,3150000
камаз,65206,2018,новосибирская,518604,3850000
shacman,sx,2021,свердловская,227496,4340000
shacman,sx,2022,самарская,,6170000
shacman,sx,2019,ханты-мансийский,310475,3920000
shacman,sx,2022,самарская,,6170000
shacman,sx,2022,свердловская,1,5770000
shacman,sx,2022,мордовия,89486,7230000
shacman,sx,2022,татарстан,42852,6130000
shacman,sx,2022,нижегородская,16495,6320000
jac,n350,2022,санкт-петербург,52675,4660000
камаз,65802,2021,татарстан,107406,5530000
shacman,sx,2022,омская,54,6110000
sitrak,c7h,2023,красноярский,113144,6150000
jac,t8,2023,забайкальский,28251,2790000
